id,WarningType,TransitLine,TransitRoute,fromId,toId,diff,expected,actual,linkIds
32,ArtificialLinkWarning,Green,183_6098_UP,pt_G07_UP,pt_G07_UP,0.0,0.0,0.0,pt_G07_UP
78,ArtificialLinkWarning,Orange,389_1024_UP,pt_O02_UP,pt_O03_UP,0.0,0.0,0.0,pt_O02_UP_pt_O03_UP
10,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL04_DN,pt_BL03_DN,0.0,0.0,0.0,pt_BL04_DN_pt_BL03_DN
95,LoopWarning,Red,377_1031_DN,48686,14260,0.0,0.0,0.0,93317,66732,93316,66733,48687,48686,14253,66734,66735,70491,70490,15028,14259,153280,70489,14260,70464,70463,70488,70465,14066,67237,14028,14006,13996
24,ArtificialLinkWarning,Green,183_6098_UP,pt_G03_UP,pt_G03_UP,0.0,0.0,0.0,pt_G03_UP
27,ArtificialLinkWarning,Green,183_6098_UP,pt_G04_UP,pt_G05_UP,0.0,0.0,0.0,pt_G04_UP_pt_G05_UP
93,LoopWarning,Red,377_1031_DN,67237,15028,0.0,0.0,0.0,66732,93317,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,14259,15028,153280,70489,14260,70464,70463,70488,67237,70465,14028,14006,13996
70,LoopWarning,Orange,389_1005_DN,1656,130584,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,109941,130583,109942,130584,107160,111671,142645,49288,141614,31504,26380,31503
77,ArtificialLinkWarning,Orange,389_1024_UP,pt_O02_UP,pt_O02_UP,0.0,0.0,0.0,pt_O02_UP
13,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL02_DN,pt_BL02_DN,0.0,0.0,0.0,pt_BL02_DN
5,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL06_DN,pt_BL06_DN,0.0,0.0,0.0,pt_BL06_DN
74,LoopWarning,Orange,389_1005_DN,130584,29180,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,109941,130584,109942,130585,107160,111671,142645,49288,141614,31504,26380,31503
64,LoopWarning,Orange,389_1005_DN,26380,141614,0.0,0.0,0.0,37375,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,49288,141614,26380,31504,31503
87,LoopWarning,Red,377_1031_DN,70491,48686,0.0,0.0,0.0,93317,66732,93316,66733,14253,48686,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70464,70463,70488,70465,14066,67237,14028,14006,13996
65,LoopWarning,Orange,389_1005_DN,110506,110504,0.0,0.0,0.0,37375,26379,110507,110508,110506,40824,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,141614,49288,26380,31504,31503
76,ArtificialLinkWarning,Orange,389_1024_UP,pt_O01_UP,pt_O02_UP,0.0,0.0,0.0,pt_O01_UP_pt_O02_UP
34,ArtificialLinkWarning,Green,183_6098_UP,pt_G08_UP,pt_G08_UP,0.0,0.0,0.0,pt_G08_UP
26,ArtificialLinkWarning,Green,183_6098_UP,pt_G04_UP,pt_G04_UP,0.0,0.0,0.0,pt_G04_UP
75,ArtificialLinkWarning,Orange,389_1024_UP,pt_O01_UP,pt_O01_UP,0.0,0.0,0.0,pt_O01_UP
88,LoopWarning,Red,377_1031_DN,70464,70491,0.0,0.0,0.0,93317,66732,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70464,70488,70465,14066,67237,14028,14006,13996
1,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL08_DN,pt_BL08_DN,0.0,0.0,0.0,pt_BL08_DN
25,ArtificialLinkWarning,Green,183_6098_UP,pt_G03_UP,pt_G04_UP,0.0,0.0,0.0,pt_G03_UP_pt_G04_UP
2,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL08_DN,pt_BL07_DN,0.0,0.0,0.0,pt_BL08_DN_pt_BL07_DN
52,ArtificialLinkWarning,Orange,389_1005_DN,pt_O21_DN,pt_O21_DN,0.0,0.0,0.0,pt_O21_DN
96,LoopWarning,Red,377_1031_DN,14066,14006,0.0,0.0,0.0,66732,93317,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,14259,153280,70489,14260,70464,70463,70488,14066,67237,70465,14028,14006,13996
7,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL05_DN,pt_BL05_DN,0.0,0.0,0.0,pt_BL05_DN
83,LoopWarning,Red,377_1031_DN,70463,48687,0.0,0.0,0.0,93317,66732,93316,66733,48687,14253,48686,66734,66735,70490,48685,15028,14259,153280,70489,14260,70464,70463,70488,70465,14066,67237,14028,14006,13996
4,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL07_DN,pt_BL06_DN,0.0,0.0,0.0,pt_BL07_DN_pt_BL06_DN
89,LoopWarning,Red,377_1031_DN,14028,70465,0.0,0.0,0.0,66732,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70464,70463,70488,14066,67237,70465,14028,14006,13996
6,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL06_DN,pt_BL05_DN,0.0,0.0,0.0,pt_BL06_DN_pt_BL05_DN
56,ArtificialLinkWarning,Orange,389_1005_DN,pt_O04_DN,pt_O04_DN,0.0,0.0,0.0,pt_O04_DN
59,ArtificialLinkWarning,Orange,389_1005_DN,pt_O03_DN,pt_O02_DN,0.0,0.0,0.0,pt_O03_DN_pt_O02_DN
63,LoopWarning,Orange,389_1005_DN,110503,142577,0.0,0.0,0.0,37375,26379,110507,110508,110505,110506,40824,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,142645,141614,49288,26380,31504,31503
33,ArtificialLinkWarning,Green,183_6098_UP,pt_G07_UP,pt_G08_UP,0.0,0.0,0.0,pt_G07_UP_pt_G08_UP
8,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL05_DN,pt_BL04_DN,0.0,0.0,0.0,pt_BL05_DN_pt_BL04_DN
72,LoopWarning,Orange,389_1005_DN,130585,130583,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,109941,130583,109942,130585,107160,111671,142645,49288,141614,31504,26380,31503
84,LoopWarning,Red,377_1031_DN,48685,14259,0.0,0.0,0.0,93317,66732,93316,66733,48687,48686,14253,66734,66735,70491,70490,48685,15028,14259,153280,70489,70464,70463,70488,70465,14066,67237,14028,14006,13996
28,ArtificialLinkWarning,Green,183_6098_UP,pt_G05_UP,pt_G05_UP,0.0,0.0,0.0,pt_G05_UP
12,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL03_DN,pt_BL02_DN,0.0,0.0,0.0,pt_BL03_DN_pt_BL02_DN
81,ArtificialLinkWarning,Orange,389_1024_UP,pt_O04_UP,pt_O04_UP,0.0,0.0,0.0,pt_O04_UP
23,ArtificialLinkWarning,Green,183_6098_UP,pt_G02_UP,pt_G03_UP,0.0,0.0,0.0,pt_G02_UP_pt_G03_UP
0,ArtificialLinkWarning,Blue,403_1019_DN,1403019748,pt_BL08_DN,0.0,0.0,0.0,pt_152107_BL08_DN
90,LoopWarning,Red,377_1031_DN,15028,14028,0.0,0.0,0.0,66732,93317,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70464,70463,70488,14066,67237,70465,14028,13996
69,LoopWarning,Orange,389_1005_DN,130583,26380,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,130583,109941,130584,109942,130585,107160,111671,142645,49288,141614,31504,26380,31503
94,LoopWarning,Red,377_1031_DN,14260,66735,0.0,0.0,0.0,93317,66732,93316,66733,48687,48686,14253,66734,66735,70491,70490,48685,15028,153280,70489,14260,70464,70463,70488,70465,14066,67237,14028,14006,13996
9,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL04_DN,pt_BL04_DN,0.0,0.0,0.0,pt_BL04_DN
20,ArtificialLinkWarning,Green,183_6098_UP,pt_G01_UP,pt_G01_UP,0.0,0.0,0.0,pt_G01_UP
57,ArtificialLinkWarning,Orange,389_1005_DN,pt_O04_DN,pt_O03_DN,0.0,0.0,0.0,pt_O04_DN_pt_O03_DN
55,ArtificialLinkWarning,Orange,389_1005_DN,5682976047,pt_O04_DN,0.0,0.0,0.0,pt_155221_O04_DN
73,LoopWarning,Orange,389_1005_DN,29180,26379,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,49288,141614,31504,31503
58,ArtificialLinkWarning,Orange,389_1005_DN,pt_O03_DN,pt_O03_DN,0.0,0.0,0.0,pt_O03_DN
66,LoopWarning,Orange,389_1005_DN,110504,111671,0.0,0.0,0.0,37375,26379,110507,110508,110505,110506,40824,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,141614,49288,26380,31504,31503
31,ArtificialLinkWarning,Green,183_6098_UP,pt_G06_UP,pt_G07_UP,0.0,0.0,0.0,pt_G06_UP_pt_G07_UP
35,ArtificialLinkWarning,Green,183_6098_UP,pt_G08_UP,4623907835,0.0,0.0,0.0,pt_G08_UP_55094
85,LoopWarning,Red,377_1031_DN,14006,93317,0.0,0.0,0.0,66732,93317,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70464,70463,70488,14066,67237,70465,14006,13996
80,ArtificialLinkWarning,Orange,389_1024_UP,pt_O03_UP,pt_O04_UP,0.0,0.0,0.0,pt_O03_UP_pt_O04_UP
82,ArtificialLinkWarning,Orange,389_1024_UP,pt_O04_UP,4623907835,0.0,0.0,0.0,pt_O04_UP_55094
30,ArtificialLinkWarning,Green,183_6098_UP,pt_G06_UP,pt_G06_UP,0.0,0.0,0.0,pt_G06_UP
91,LoopWarning,Red,377_1031_DN,48687,48685,0.0,0.0,0.0,93317,66732,93316,66733,48687,14253,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70464,70463,70488,70465,14066,67237,14028,14006,13996
22,ArtificialLinkWarning,Green,183_6098_UP,pt_G02_UP,pt_G02_UP,0.0,0.0,0.0,pt_G02_UP
61,LoopWarning,Orange,389_1005_DN,110505,110503,0.0,0.0,0.0,37375,26379,110507,110508,110505,110506,40824,110503,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,141614,49288,26380,31504,31503
79,ArtificialLinkWarning,Orange,389_1024_UP,pt_O03_UP,pt_O03_UP,0.0,0.0,0.0,pt_O03_UP
21,ArtificialLinkWarning,Green,183_6098_UP,pt_G01_UP,pt_G02_UP,0.0,0.0,0.0,pt_G01_UP_pt_G02_UP
54,ArtificialLinkWarning,Orange,389_1005_DN,5051817830,10092661982,0.0,0.0,0.0,pt_128640_155221
92,LoopWarning,Red,377_1031_DN,70465,70463,0.0,0.0,0.0,93317,66732,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70463,70488,70465,14066,67237,14028,14006,13996
86,LoopWarning,Red,377_1031_DN,93317,70464,0.0,0.0,0.0,93317,66732,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70464,70463,70488,14066,67237,14028,14006,13996
11,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL03_DN,pt_BL03_DN,0.0,0.0,0.0,pt_BL03_DN
62,LoopWarning,Orange,389_1005_DN,26379,110508,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,49288,26380,31504,31503
68,LoopWarning,Orange,389_1005_DN,141614,110507,0.0,0.0,0.0,37375,26379,110507,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,141614,49288,26380,31504,31503
3,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL07_DN,pt_BL07_DN,0.0,0.0,0.0,pt_BL07_DN
60,ArtificialLinkWarning,Orange,389_1005_DN,pt_O02_DN,pt_O02_DN,0.0,0.0,0.0,pt_O02_DN
71,LoopWarning,Orange,389_1005_DN,110507,110505,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,141614,49288,26380,31504,31503
29,ArtificialLinkWarning,Green,183_6098_UP,pt_G05_UP,pt_G06_UP,0.0,0.0,0.0,pt_G05_UP_pt_G06_UP
67,LoopWarning,Orange,389_1005_DN,110508,110506,0.0,0.0,0.0,37375,26379,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,141614,49288,26380,31504,31503
53,ArtificialLinkWarning,Orange,389_1005_DN,pt_O21_DN,1504989488,0.0,0.0,0.0,pt_O21_DN_20893
