vehicle_id,mode,first_use_time_s,last_use_time_s,first_use_time,last_use_time,agent_count
car_agent_53,car,25474,54328,7:04:34,15:05:28,1
car_agent_54,car,24598,32057,6:49:58,8:54:17,1
car_agent_57,car,23620,51632,6:33:40,14:20:32,1
car_agent_58,car,22800,36066,6:20:00,10:01:06,1
car_agent_60,car,22564,73453,6:16:04,20:24:13,1
car_agent_61,car,30117,59823,8:21:57,16:37:03,1
car_agent_62_motorcycle,car,27044,74715,7:30:44,20:45:15,1
car_agent_66_motorcycle,car,24249,31814,6:44:09,8:50:14,1
car_agent_68_motorcycle,car,24842,61471,6:54:02,17:04:31,1
car_agent_69_motorcycle,car,24471,29758,6:47:51,8:15:58,1
car_agent_70,car,23227,52135,6:27:07,14:28:55,1
car_agent_71,car,69275,69275,19:14:35,19:14:35,1
car_agent_71_motorcycle,car,25153,68074,6:59:13,18:54:34,1
car_agent_73,car,24416,73863,6:46:56,20:31:03,1
car_agent_78,car,22974,82780,6:22:54,22:59:40,1
car_agent_79_motorcycle,car,44543,51074,12:22:23,14:11:14,1
car_agent_80,car,23968,53054,6:39:28,14:44:14,1
car_agent_81,car,25120,76860,6:58:40,21:21:00,1
car_agent_82,car,25621,62178,7:07:01,17:16:18,1
car_agent_85,car,47166,53198,13:06:06,14:46:38,1
car_agent_86,car,23882,30956,6:38:02,8:35:56,1
car_agent_87,car,25168,61308,6:59:28,17:01:48,1
car_agent_88_motorcycle,car,24001,52820,6:40:01,14:40:20,1
car_agent_89_motorcycle,car,32165,32165,8:56:05,8:56:05,1
car_agent_90,car,23850,69027,6:37:30,19:10:27,1
motorcycle_agent_02_motorcycle,unknown,24308,54072,6:45:08,15:01:12,1
motorcycle_agent_03,unknown,25920,52808,7:12:00,14:40:08,1
motorcycle_agent_04,unknown,23449,52005,6:30:49,14:26:45,1
motorcycle_agent_08_motorcycle,unknown,27708,52808,7:41:48,14:40:08,1
motorcycle_agent_09,unknown,23429,52005,6:30:29,14:26:45,1
motorcycle_agent_10_motorcycle,unknown,32388,54617,8:59:48,15:10:17,1
motorcycle_agent_12_motorcycle,unknown,24308,54072,6:45:08,15:01:12,1
motorcycle_agent_14_motorcycle,unknown,23449,52005,6:30:49,14:26:45,1
motorcycle_agent_15_motorcycle,unknown,29813,54617,8:16:53,15:10:17,1
motorcycle_agent_16_motorcycle,unknown,26059,54701,7:14:19,15:11:41,1
pt_agent_10_motorcycle,unknown,25264,25264,7:01:04,7:01:04,1
pt_agent_11,unknown,30914,53288,8:35:14,14:48:08,1
pt_agent_12_motorcycle,unknown,23133,66916,6:25:33,18:35:16,1
pt_agent_13,unknown,25265,82804,7:01:05,23:00:04,1
pt_agent_15_motorcycle,unknown,25838,69223,7:10:38,19:13:43,1
pt_agent_16,unknown,32021,68741,8:53:41,19:05:41,1
pt_transfer_agent_21,unknown,24427,67574,6:47:07,18:46:14,1
pt_transfer_agent_25_motorcycle,unknown,22761,58086,6:19:21,16:08:06,1
pt_transfer_agent_28_motorcycle,unknown,23241,82604,6:27:21,22:56:44,1
pt_transfer_agent_29,unknown,23399,51497,6:29:59,14:18:17,1
pt_transfer_agent_30_motorcycle,unknown,31630,62176,8:47:10,17:16:16,1
pt_transfer_agent_32,unknown,25962,59967,7:12:42,16:39:27,1
pt_transfer_agent_33_motorcycle,unknown,23848,74870,6:37:28,20:47:50,1
pt_transfer_agent_35,unknown,24441,67567,6:47:21,18:46:07,1
pt_transfer_agent_36,unknown,81936,81936,22:45:36,22:45:36,1
pt_transfer_agent_41_motorcycle,unknown,23963,81485,6:39:23,22:38:05,1
pt_transfer_agent_42_motorcycle,unknown,23904,81573,6:38:24,22:39:33,1
pt_transfer_agent_50,unknown,25050,68354,6:57:30,18:59:14,1
veh_1023_subway,subway,51694,51694,14:21:34,14:21:34,1
veh_1025_subway,subway,52894,52894,14:41:34,14:41:34,1
veh_1115_subway,subway,52857,53826,14:40:57,14:57:06,4
veh_1128_subway,subway,29583,29583,8:13:03,8:13:03,1
veh_1154_subway,subway,54797,54797,15:13:17,15:13:17,2
veh_1158_subway,subway,55277,55277,15:21:17,15:21:17,1
veh_1160_subway,subway,51338,51338,14:15:38,14:15:38,1
veh_1163_subway,subway,46134,46134,12:48:54,12:48:54,1
veh_1164_subway,subway,50957,51415,14:09:17,14:16:55,2
veh_1169_subway,subway,47498,47498,13:11:38,13:11:38,1
veh_1175_subway,subway,53094,53499,14:44:54,14:51:39,2
veh_1191_subway,subway,59147,59147,16:25:47,16:25:47,1
veh_1212_subway,subway,67964,67964,18:52:44,18:52:44,1
veh_1236_subway,subway,25209,25459,7:00:09,7:04:19,3
veh_1255_subway,subway,25082,25082,6:58:02,6:58:02,1
veh_1269_subway,subway,53841,53841,14:57:21,14:57:21,1
veh_1301_subway,subway,52157,52157,14:29:17,14:29:17,1
veh_1304_subway,subway,54080,54080,15:01:20,15:01:20,1
veh_1332_subway,subway,77608,77608,21:33:28,21:33:28,1
veh_1352_subway,subway,68398,68398,18:59:58,18:59:58,1
veh_1369_subway,subway,67777,67777,18:49:37,18:49:37,1
veh_1400_subway,subway,45950,45950,12:45:50,12:45:50,1
veh_1439_subway,subway,23865,23865,6:37:45,6:37:45,1
veh_1440_subway,subway,59450,59450,16:30:50,16:30:50,1
veh_1453_subway,subway,26514,26514,7:21:54,7:21:54,1
veh_1459_subway,subway,31901,31901,8:51:41,8:51:41,1
veh_1534_subway,subway,24596,24596,6:49:56,6:49:56,1
veh_1573_subway,subway,55009,55009,15:16:49,15:16:49,2
veh_1583_subway,subway,52109,52109,14:28:29,14:28:29,1
veh_1599_subway,subway,55359,55359,15:22:39,15:22:39,1
veh_1602_subway,subway,46079,46079,12:47:59,12:47:59,1
veh_1628_subway,subway,67333,67333,18:42:13,18:42:13,1
veh_1643_subway,subway,79005,79005,21:56:45,21:56:45,1
veh_1661_subway,subway,52190,52190,14:29:50,14:29:50,1
veh_1662_subway,subway,46524,46524,12:55:24,12:55:24,1
veh_1665_subway,subway,53198,53198,14:46:38,14:46:38,1
veh_1701_subway,subway,50160,50160,13:56:00,13:56:00,1
veh_1703_subway,subway,25493,25493,7:04:53,7:04:53,1
veh_1720_subway,subway,26058,26058,7:14:18,7:14:18,1
veh_1780_subway,subway,23955,23955,6:39:15,6:39:15,1
veh_1812_subway,subway,74306,74306,20:38:26,20:38:26,1
veh_1858_subway,subway,25112,25112,6:58:32,6:58:32,1
veh_1904_subway,subway,67361,67361,18:42:41,18:42:41,1
veh_1925_subway,subway,29716,29716,8:15:16,8:15:16,1
veh_1931_subway,subway,37894,37894,10:31:34,10:31:34,1
veh_1970_subway,subway,26267,26267,7:17:47,7:17:47,1
veh_1993_subway,subway,24186,24186,6:43:06,6:43:06,1
veh_2034_subway,subway,30566,30566,8:29:26,8:29:26,1
veh_2074_subway,subway,23408,23408,6:30:08,6:30:08,1
veh_2105_subway,subway,23964,23964,6:39:24,6:39:24,1
veh_2280_subway,subway,54306,54306,15:05:06,15:05:06,1
veh_2293_subway,subway,56913,56913,15:48:33,15:48:33,1
veh_2312_subway,subway,48024,48024,13:20:24,13:20:24,1
veh_2318_subway,subway,67736,67736,18:48:56,18:48:56,1
veh_2323_subway,subway,65649,65649,18:14:09,18:14:09,1
veh_2351_subway,subway,37561,37561,10:26:01,10:26:01,1
veh_2376_subway,subway,36243,36243,10:04:03,10:04:03,1
veh_2388_subway,subway,51799,51908,14:23:19,14:25:08,3
veh_2395_subway,subway,47748,47748,13:15:48,13:15:48,1
veh_2433_subway,subway,46884,46884,13:01:24,13:01:24,1
veh_244_subway,subway,80097,80097,22:14:57,22:14:57,1
veh_2473_subway,subway,23995,23995,6:39:55,6:39:55,2
veh_2501_subway,subway,39026,39026,10:50:26,10:50:26,1
veh_2506_subway,subway,60075,60075,16:41:15,16:41:15,1
veh_2508_subway,subway,25132,25132,6:58:52,6:58:52,1
veh_2519_subway,subway,65831,65831,18:17:11,18:17:11,1
veh_2549_subway,subway,39886,39886,11:04:46,11:04:46,1
veh_2579_subway,subway,30869,30869,8:34:29,8:34:29,1
veh_2583_subway,subway,31006,31006,8:36:46,8:36:46,1
veh_2632_subway,subway,23452,23452,6:30:52,6:30:52,1
veh_2649_subway,subway,70111,70111,19:28:31,19:28:31,1
veh_269_subway,subway,74441,74441,20:40:41,20:40:41,1
veh_2712_subway,subway,62411,62411,17:20:11,17:20:11,1
veh_2719_subway,subway,69541,69541,19:19:01,19:19:01,1
veh_271_subway,subway,82444,82444,22:54:04,22:54:04,1
veh_2747_subway,subway,57286,57286,15:54:46,15:54:46,1
veh_2749_subway,subway,55581,55581,15:26:21,15:26:21,1
veh_2755_subway,subway,25379,25379,7:02:59,7:02:59,1
veh_2775_subway,subway,25868,25868,7:11:08,7:11:08,1
veh_2776_subway,subway,25472,25472,7:04:32,7:04:32,1
veh_2782_subway,subway,81534,81534,22:38:54,22:38:54,1
veh_298_subway,subway,47526,47526,13:12:06,13:12:06,1
veh_299_subway,subway,52056,52906,14:27:36,14:41:46,2
veh_311_subway,subway,37912,38447,10:31:52,10:40:47,2
veh_325_subway,subway,56226,56226,15:37:06,15:37:06,2
veh_328_subway,subway,51586,51586,14:19:46,14:19:46,1
veh_329_subway,subway,56806,56806,15:46:46,15:46:46,1
veh_353_subway,subway,46913,46913,13:01:53,13:01:53,1
veh_374_subway,subway,45066,45066,12:31:06,12:31:06,1
veh_378_subway,subway,52446,52446,14:34:06,14:34:06,1
veh_379_subway,subway,38309,38309,10:38:29,10:38:29,1
veh_382_subway,subway,46646,46646,12:57:26,12:57:26,1
veh_395_subway,subway,56127,56127,15:35:27,15:35:27,2
veh_401_subway,subway,60609,60609,16:50:09,16:50:09,1
veh_409_subway,subway,75425,75425,20:57:05,20:57:05,1
veh_418_subway,subway,68727,68727,19:05:27,19:05:27,1
veh_423_subway,subway,59855,60447,16:37:35,16:47:27,3
veh_428_subway,subway,47991,47991,13:19:51,13:19:51,1
veh_432_subway,subway,53512,55728,14:51:52,15:28:48,2
veh_435_subway,subway,54092,54092,15:01:32,15:01:32,1
veh_444_subway,subway,50760,50760,14:06:00,14:06:00,1
veh_446_subway,subway,51910,51910,14:25:10,14:25:10,1
veh_448_subway,subway,52490,53138,14:34:50,14:45:38,3
veh_451_subway,subway,47231,47231,13:07:11,13:07:11,1
veh_453_subway,subway,40605,40605,11:16:45,11:16:45,1
veh_455_subway,subway,53660,53660,14:54:20,14:54:20,1
veh_461_subway,subway,24229,24886,6:43:49,6:54:46,2
veh_463_subway,subway,26240,27009,7:17:20,7:30:09,2
veh_464_subway,subway,32639,32639,9:03:59,9:03:59,1
veh_465_subway,subway,24256,24685,6:44:16,6:51:25,3
veh_472_subway,subway,67985,67985,18:53:05,18:53:05,1
veh_473_subway,subway,60335,60335,16:45:35,16:45:35,1
veh_474_subway,subway,67679,67679,18:47:59,18:47:59,1
veh_476_subway,subway,32174,32590,8:56:14,9:03:10,2
veh_477_subway,subway,22964,23762,6:22:44,6:36:02,3
veh_504_subway,subway,26136,26136,7:15:36,7:15:36,1
veh_505_subway,subway,23166,23166,6:26:06,6:26:06,1
veh_536_subway,subway,22969,23517,6:22:49,6:31:57,3
veh_537_subway,subway,81650,81650,22:40:50,22:40:50,1
veh_541_subway,subway,60281,60281,16:44:41,16:44:41,1
veh_542_subway,subway,60693,61556,16:51:33,17:05:56,2
veh_543_subway,subway,26048,26048,7:14:08,7:14:08,1
veh_545_subway,subway,57632,59505,16:00:32,16:31:45,3
veh_597_subway,subway,29495,29495,8:11:35,8:11:35,1
veh_600_subway,subway,82889,82889,23:01:29,23:01:29,1
veh_606_subway,subway,57855,57855,16:04:15,16:04:15,1
veh_607_subway,subway,29497,29497,8:11:37,8:11:37,1
veh_620_subway,subway,64755,64755,17:59:15,17:59:15,1
veh_622_subway,subway,30215,30215,8:23:35,8:23:35,1
veh_623_subway,subway,24415,25750,6:46:55,7:09:10,2
veh_624_subway,subway,60534,60534,16:48:54,16:48:54,1
veh_637_subway,subway,29771,30309,8:16:11,8:25:09,2
veh_647_subway,subway,23200,23504,6:26:40,6:31:44,3
veh_652_subway,subway,68824,68824,19:07:04,19:07:04,1
veh_660_subway,subway,69345,69345,19:15:45,19:15:45,1
veh_663_subway,subway,22927,24488,6:22:07,6:48:08,6
veh_673_subway,subway,30266,30266,8:24:26,8:24:26,1
veh_681_subway,subway,62313,62313,17:18:33,17:18:33,1
veh_685_subway,subway,61166,61166,16:59:26,16:59:26,1
veh_687_subway,subway,35953,35953,9:59:13,9:59:13,1
veh_689_subway,subway,58235,58235,16:10:35,16:10:35,1
veh_694_subway,subway,29543,29543,8:12:23,8:12:23,1
veh_703_subway,subway,30884,30884,8:34:44,8:34:44,1
veh_720_subway,subway,30390,30390,8:26:30,8:26:30,1
veh_723_subway,subway,25140,25140,6:59:00,6:59:00,1
veh_732_subway,subway,28230,28230,7:50:30,7:50:30,1
veh_736_subway,subway,33152,33152,9:12:32,9:12:32,1
veh_749_subway,subway,66578,66578,18:29:38,18:29:38,1
veh_757_subway,subway,28252,28252,7:50:52,7:50:52,1
veh_762_subway,subway,66717,66717,18:31:57,18:31:57,1
veh_766_subway,subway,66044,66044,18:20:44,18:20:44,1
veh_767_subway,subway,24759,24759,6:52:39,6:52:39,2
veh_769_subway,subway,67148,67148,18:39:08,18:39:08,1
veh_770_subway,subway,65436,65436,18:10:36,18:10:36,1
veh_772_subway,subway,32283,32283,8:58:03,8:58:03,1
veh_773_subway,subway,62701,62701,17:25:01,17:25:01,1
veh_776_subway,subway,28180,28180,7:49:40,7:49:40,1
veh_780_subway,subway,54755,54755,15:12:35,15:12:35,1
veh_781_subway,subway,29612,29612,8:13:32,8:13:32,1
veh_782_subway,subway,59115,59115,16:25:15,16:25:15,1
veh_784_subway,subway,24484,24617,6:48:04,6:50:17,2
veh_789_subway,subway,25301,25422,7:01:41,7:03:42,2
veh_795_subway,subway,27987,27987,7:46:27,7:46:27,1
veh_806_subway,subway,25226,25226,7:00:26,7:00:26,2
veh_807_subway,subway,30539,30539,8:28:59,8:28:59,1
veh_833_subway,subway,31554,31554,8:45:54,8:45:54,1
veh_838_subway,subway,32754,32754,9:05:54,9:05:54,1
veh_864_subway,subway,45834,45834,12:43:54,12:43:54,1
veh_988_subway,subway,32356,32356,8:59:16,8:59:16,1
walk_agent_92_motorcycle,unknown,26942,54739,7:29:02,15:12:19,1
walk_agent_98_motorcycle,unknown,25185,30445,6:59:45,8:27:25,1
walk_agent_99,unknown,25703,31199,7:08:23,8:39:59,1
