iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;16:46:43;16:46:43;16:46:43;;;16:46:43;16:46:43;16:46:43;16:46:43;16:46:43;16:46:43;16:46:43;16:46:47;16:46:47;16:46:47;16:46:47;16:46:47;16:46:47;16:46:49;16:46:49;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;00:00:01;00:00:06
1;16:46:49;16:46:49;16:46:49;16:46:49;16:46:49;16:46:49;16:46:49;16:46:49;16:46:49;16:46:49;16:46:49;16:46:49;16:46:53;16:46:53;16:46:53;16:46:53;16:46:53;16:46:53;16:46:54;16:46:54;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:04
2;16:46:54;16:46:54;16:46:54;16:46:54;16:46:54;16:46:54;;;16:46:54;16:46:54;16:46:54;16:46:54;16:46:57;16:46:57;16:46:57;16:46:57;16:46:57;16:46:57;16:46:57;16:46:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
3;16:46:57;16:46:57;16:46:57;16:46:57;16:46:57;16:46:57;;;16:46:57;16:46:57;16:46:57;16:46:57;16:47:01;16:47:01;16:47:01;16:47:01;16:47:01;16:47:01;16:47:01;16:47:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
4;16:47:01;16:47:01;16:47:01;16:47:01;16:47:01;16:47:01;;;16:47:01;16:47:01;16:47:01;16:47:01;16:47:04;16:47:04;16:47:04;16:47:04;16:47:04;16:47:04;16:47:05;16:47:05;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
5;16:47:05;16:47:05;16:47:05;16:47:05;16:47:05;16:47:05;;;16:47:05;16:47:05;16:47:05;16:47:05;16:47:08;16:47:08;16:47:08;16:47:08;16:47:08;16:47:08;16:47:08;16:47:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
6;16:47:08;16:47:08;16:47:08;16:47:08;16:47:08;16:47:08;;;16:47:08;16:47:08;16:47:08;16:47:08;16:47:12;16:47:12;16:47:12;16:47:12;16:47:12;16:47:12;16:47:12;16:47:12;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
7;16:47:12;16:47:12;16:47:12;16:47:12;16:47:12;16:47:12;;;16:47:12;16:47:12;16:47:12;16:47:12;16:47:15;16:47:15;16:47:15;16:47:15;16:47:15;16:47:15;16:47:15;16:47:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
8;16:47:16;16:47:16;16:47:16;16:47:16;16:47:16;16:47:16;;;16:47:16;16:47:16;16:47:16;16:47:16;16:47:19;16:47:19;16:47:19;16:47:19;16:47:19;16:47:19;16:47:19;16:47:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
9;16:47:19;16:47:19;16:47:19;16:47:19;16:47:19;16:47:19;;;16:47:19;16:47:19;16:47:19;16:47:19;16:47:22;16:47:22;16:47:23;16:47:23;16:47:23;16:47:23;16:47:23;16:47:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
10;16:47:23;16:47:23;16:47:23;16:47:23;16:47:23;16:47:23;;;16:47:23;16:47:23;16:47:23;16:47:23;16:47:26;16:47:26;16:47:26;16:47:26;16:47:26;16:47:26;16:47:26;16:47:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
11;16:47:26;16:47:26;16:47:26;16:47:26;16:47:26;16:47:26;;;16:47:26;16:47:26;16:47:27;16:47:27;16:47:30;16:47:30;16:47:30;16:47:30;16:47:30;16:47:30;16:47:30;16:47:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
12;16:47:30;16:47:30;16:47:30;16:47:30;16:47:30;16:47:30;;;16:47:30;16:47:30;16:47:30;16:47:30;16:47:33;16:47:33;16:47:33;16:47:33;16:47:33;16:47:33;16:47:34;16:47:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
13;16:47:34;16:47:34;16:47:34;16:47:34;16:47:34;16:47:34;;;16:47:34;16:47:34;16:47:34;16:47:34;16:47:37;16:47:37;16:47:37;16:47:37;16:47:37;16:47:37;16:47:37;16:47:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
14;16:47:37;16:47:37;16:47:37;16:47:37;16:47:37;16:47:37;;;16:47:37;16:47:37;16:47:37;16:47:37;16:47:41;16:47:41;16:47:41;16:47:41;16:47:41;16:47:41;16:47:41;16:47:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
15;16:47:41;16:47:41;16:47:41;16:47:41;16:47:41;16:47:41;;;16:47:41;16:47:41;16:47:41;16:47:41;16:47:44;16:47:44;16:47:44;16:47:44;16:47:44;16:47:44;16:47:45;16:47:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
